EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2012,National,Canada,,,Overall,Full-Time,156,96,60,18,11,7,,,,5,3,2
Provincial Aerospace Ltd.,2012,National,Canada,0,,Senior Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Middle and Other Managers,Full-Time,15,9,6,,,,,,,1,1,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Professionals,Full-Time,11,4,7,1,1,,,,,1,1,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,28,23,5,1,1,,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Supervisors,Full-Time,3,,3,1,,1,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,15,15,,,,,,,,1,1,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Clerical Personnel,Full-Time,15,6,9,2,1,1,,,,1,,1
Provincial Aerospace Ltd.,2012,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,28,3,25,4,,4,,,,1,,1
Provincial Aerospace Ltd.,2012,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,34,30,4,9,8,1,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Other Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Other Manual Workers,Full-Time,3,3,,,,,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,,,Overall,Part-Time,19,6,13,7,2,5,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Clerical Personnel,Part-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,16,3,13,6,1,5,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,2,2,,1,1,,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,134,83,51,18,11,7,,,,4,3,1
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Senior Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,15,9,6,,,,,,,1,1,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,10,3,7,1,1,,,,,1,1,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,18,14,4,1,1,,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,3,,3,1,,1,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Supervisors: Crafts and Trades,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Skilled Crafts and Trades Workers,Full-Time,14,14,,,,,,,,1,1,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,14,6,8,2,1,1,,,,1,,1
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Full-Time,21,3,18,4,,4,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Full-Time,32,28,4,9,8,1,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Other Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Other Manual Workers,Full-Time,3,3,,,,,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,16,5,11,7,2,5,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Part-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Part-Time,13,2,11,6,1,5,,,,,,
Provincial Aerospace Ltd.,2012,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Part-Time,2,2,,1,1,,,,,,,
Jazz Aviation L.P.,2012,National,Canada,,,Overall,Full-Time,355,247,108,6,1,5,3,1,2,40,26,14
Jazz Aviation L.P.,2012,National,Canada,4811,Scheduled Air Transportation,Senior Managers,Full-Time,1,1,,,,,,,,1,1,
Jazz Aviation L.P.,2012,National,Canada,4811,Scheduled Air Transportation,Middle and Other Managers,Full-Time,7,5,2,,,,1,,1,,,
Jazz Aviation L.P.,2012,National,Canada,4811,Scheduled Air Transportation,Professionals,Full-Time,12,8,4,,,,,,,2,1,1
Jazz Aviation L.P.,2012,National,Canada,4811,Scheduled Air Transportation,Semi-Professionals and Technicians,Full-Time,126,118,8,1,,1,,,,11,10,1
